source_id,organization,jurisdiction,source_tier,domain,base_url,total_cataloged,collection_method
"SRC-BSEE","Bureau of Safety and Environmental Enforcement (BSEE)","United States Federal Outer Continental Shelf","TIER_A_AUTHORITATIVE","Offshore Oil & Gas Exploration, Drilling, and Production","https://www.bsee.gov/guidance-and-regulations/guidance/safety-alerts-program","581","Direct HTTP crawl and PDF acquisition"
"SRC-IMCA","International Marine Contractors Association (IMCA)","Global Marine & Offshore Contracting Industry","TIER_B_INDUSTRY","Marine Contracting, Diving, Dynamic Positioning, Rigging & Lifting","https://www.imca-int.com/resources/safety/safety-flashes/","2401","Official RSS Feed & Structured HTML extraction"
"SRC-HSE","Health and Safety Executive (UK HSE)","United Kingdom Offshore & Petrochemical Regulatory Framework","TIER_A_AUTHORITATIVE","Offshore Energy, Petrochemical, and Industrial Safety Bulletins","https://www.hse.gov.uk/safetybulletins/recent-bulletins.htm","8","Official regulatory bulletin ingest"
