event_id,duplicate_status,canonical_event_id,match_reason,source_organization,url
"EVT-BSEE-0028","UNIQUE","EVT-BSEE-0028","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/vigilance-required-in-offshore-helideck-operations"
"EVT-BSEE-0029","UNIQUE","EVT-BSEE-0029","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/helideck-condition-notifications-and-verification"
"EVT-BSEE-0030","UNIQUE","EVT-BSEE-0030","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-reminds-offshore-workers-conduct-pre-job-assessment-for-potential-hazards-stay"
"EVT-BSEE-0031","UNIQUE","EVT-BSEE-0031","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/flash-fires-during-welding-operations"
"EVT-BSEE-0032","UNIQUE","EVT-BSEE-0032","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/recurring-hand-injuries-while-using-alternative-cutting-devices"
"EVT-BSEE-0033","UNIQUE","EVT-BSEE-0033","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/heat-advisory"
"EVT-BSEE-0034","UNIQUE","EVT-BSEE-0034","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/hand-tools-pose-risk-to-offshore-personnel"
"EVT-BSEE-0035","UNIQUE","EVT-BSEE-0035","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/improperly-depressurizing-piping-to-remove-a-hydrate-causes-injury"
"EVT-BSEE-0036","UNIQUE","EVT-BSEE-0036","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/scam-alert-suspicious-requests-for-payment"
"EVT-BSEE-0037","UNIQUE","EVT-BSEE-0037","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-risk-based-inspection-identifies-welding-and-burning-hazards"
"EVT-BSEE-0038","UNIQUE","EVT-BSEE-0038","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/hazardous-helideck-conditions-results-in-near-miss-incident"
"EVT-BSEE-0039","UNIQUE","EVT-BSEE-0039","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-480-fingerboard-locking-bolt-failure-leads-to-near-miss-incident"
