document_id,source,url,title,expected_path,actual_path,file_present,manifest_sha256,actual_sha256,hash_match,retrieval_status,extraction_status,event_count,provenance_status,notes
SRC-BSEE-0012,BSEE,https://www.bsee.gov/safety-alerts/miscommunication-and-trapped-pressure-causes-injury,SRC-BSEE-0012.pdf,dataset/documents/bsee/SRC-BSEE-0012.pdf,dataset/documents/bsee/SRC-BSEE-0012.pdf,YES,0f4223a6764b8f436d1a4a5a0c0dd202a598fca026725d1457bde57fbfcc6a89,0f4223a6764b8f436d1a4a5a0c0dd202a598fca026725d1457bde57fbfcc6a89,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0013,BSEE,https://www.bsee.gov/safety-alerts/review-anchor-handling-plans-now-incident-damages-subsea-equipment-triggers-gas,SRC-BSEE-0013.pdf,dataset/documents/bsee/SRC-BSEE-0013.pdf,dataset/documents/bsee/SRC-BSEE-0013.pdf,YES,789c72f53fc1609bfaa806cf857170847b4245a7d70f9e6096a4be8d98ea4340,789c72f53fc1609bfaa806cf857170847b4245a7d70f9e6096a4be8d98ea4340,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0014,BSEE,https://www.bsee.gov/safety-alerts/improper-use-of-equipment-and-tools-increases-risk-of-fires-and-explosions-offshore,SRC-BSEE-0014.pdf,dataset/documents/bsee/SRC-BSEE-0014.pdf,dataset/documents/bsee/SRC-BSEE-0014.pdf,YES,cf8c9323cb2af624f97d6c1b0b27a624c25b0d59a030cafd7543a013026c1049,cf8c9323cb2af624f97d6c1b0b27a624c25b0d59a030cafd7543a013026c1049,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0015,BSEE,https://www.bsee.gov/safety-alerts/arc-flash-incident-highlights-critical-need-for-voltage-verification-during-offshore,SRC-BSEE-0015.pdf,dataset/documents/bsee/SRC-BSEE-0015.pdf,dataset/documents/bsee/SRC-BSEE-0015.pdf,YES,84040196b540cbfd316d1655911f710bdbca15e334f2a020ef0baec8c0f49893,84040196b540cbfd316d1655911f710bdbca15e334f2a020ef0baec8c0f49893,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0016,BSEE,https://www.bsee.gov/safety-alerts/bsee-risk-based-inspections-reveal-increase-in-slip-trip-fall-hazards-on-offshore,SRC-BSEE-0016.pdf,dataset/documents/bsee/SRC-BSEE-0016.pdf,dataset/documents/bsee/SRC-BSEE-0016.pdf,YES,51b03b58b62a18717279dcd5cf1c6be44a7615d4ebe7f70759c002b0908c8e48,51b03b58b62a18717279dcd5cf1c6be44a7615d4ebe7f70759c002b0908c8e48,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0017,BSEE,https://www.bsee.gov/safety-alerts/malfunction-of-rental-generators-engine-air-shutoff-system-led-to-fire,SRC-BSEE-0017.pdf,dataset/documents/bsee/SRC-BSEE-0017.pdf,dataset/documents/bsee/SRC-BSEE-0017.pdf,YES,be1731ae9baa13ed9c84b5d90668a3919d6c7f7402a5ecb106a74570895d6819,be1731ae9baa13ed9c84b5d90668a3919d6c7f7402a5ecb106a74570895d6819,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0018,BSEE,https://www.bsee.gov/safety-alerts/fatigue-cracking-of-34-inch-pipe-nipple-results-in-gas-release,SRC-BSEE-0018.pdf,dataset/documents/bsee/SRC-BSEE-0018.pdf,dataset/documents/bsee/SRC-BSEE-0018.pdf,YES,086f61e74bfbbb0f6a3bc043ae394971b6f39657d836ef75e48924cb7f8e097a,086f61e74bfbbb0f6a3bc043ae394971b6f39657d836ef75e48924cb7f8e097a,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0019,BSEE,https://www.bsee.gov/safety-alerts/bsee-identifies-bypassed-safety-device-deficiencies-during-risk-based-inspections,SRC-BSEE-0019.pdf,dataset/documents/bsee/SRC-BSEE-0019.pdf,dataset/documents/bsee/SRC-BSEE-0019.pdf,YES,051031222ad5a45547e7b123c3bd855b9792d467708687d2198f066a98e3d1ca,051031222ad5a45547e7b123c3bd855b9792d467708687d2198f066a98e3d1ca,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0020,BSEE,https://www.bsee.gov/safety-alerts/dropped-steel-plate-due-to-defective-lifting-device-and-inadequate-hazard-analysis,SRC-BSEE-0020.pdf,dataset/documents/bsee/SRC-BSEE-0020.pdf,dataset/documents/bsee/SRC-BSEE-0020.pdf,YES,ba376089cf49afaddad8620149315c0374506e6aa647922bc63be4847e1453ac,ba376089cf49afaddad8620149315c0374506e6aa647922bc63be4847e1453ac,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0021,BSEE,https://www.bsee.gov/safety-alerts/failed-umbilical-termination-results-in-dropped-remotely-operated-vehicle-rov,SRC-BSEE-0021.pdf,dataset/documents/bsee/SRC-BSEE-0021.pdf,dataset/documents/bsee/SRC-BSEE-0021.pdf,YES,943fd2a280694411cb9234ec54915b0bc6d9288bb2eee9d9ecee97db26bbdc77,943fd2a280694411cb9234ec54915b0bc6d9288bb2eee9d9ecee97db26bbdc77,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0022,BSEE,https://www.bsee.gov/safety-alerts/explosion-and-fire-on-liftboat-injure-workers-bsee-calls-for-enhanced-safety-measures,SRC-BSEE-0022.pdf,dataset/documents/bsee/SRC-BSEE-0022.pdf,dataset/documents/bsee/SRC-BSEE-0022.pdf,YES,10ecccbf4edb95ee2d19ea9c4a7177bfd463ebec911f03c2f51b8295e82fdda4,10ecccbf4edb95ee2d19ea9c4a7177bfd463ebec911f03c2f51b8295e82fdda4,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0023,BSEE,https://www.bsee.gov/safety-alerts/weather-creates-sudden-and-unpredictable-risks,SRC-BSEE-0023.pdf,dataset/documents/bsee/SRC-BSEE-0023.pdf,dataset/documents/bsee/SRC-BSEE-0023.pdf,YES,25c776f528f4ddf774414ba89071dc7309d38f64b5df8188cdef2df046487050,25c776f528f4ddf774414ba89071dc7309d38f64b5df8188cdef2df046487050,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0024,BSEE,https://www.bsee.gov/safety-alerts/misidentification-of-corrosion-hazard-results-in-high-potential-event,SRC-BSEE-0024.pdf,dataset/documents/bsee/SRC-BSEE-0024.pdf,dataset/documents/bsee/SRC-BSEE-0024.pdf,YES,7d1b99d4462a026c572e514331178830f7afa66d0443cf2dd36447d256b709de,7d1b99d4462a026c572e514331178830f7afa66d0443cf2dd36447d256b709de,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
