source_organization,event_count,percentage
International Marine Contractors Association (IMCA),2388,79.10%
Bureau of Safety and Environmental Enforcement (BSEE),574,19.01%
Health and Safety Executive (HSE),33,1.09%
U.S. Chemical Safety Board (CSB),16,0.53%
Health and Safety Executive (UK HSE),8,0.26%
