event_id,source_organization,document_title,source_url,document_id,document_hash,provenance_status,quality_flag,is_oil_internal
EVT-BSEE-0011,Bureau of Safety and Environmental Enforcement (BSEE),"Crane Incident During Well Abandonment Operations Injures Worker, Reveals Safety Gaps",https://www.bsee.gov/safety-alerts/crane-incident-during-well-abandonment-operations-injures-worker-reveals-safety-gaps,SRC-BSEE-0011,7f71245a9b0d8a4b8abe12491f9d6811127e41076c35c0d111261267702c91c5,VERIFIED,VERIFIED,False
EVT-BSEE-0012,Bureau of Safety and Environmental Enforcement (BSEE),Miscommunication and Trapped Pressure Causes Injury,https://www.bsee.gov/safety-alerts/miscommunication-and-trapped-pressure-causes-injury,SRC-BSEE-0012,58f84704d8693bba6471519cc7f1783309329050b62779397be4e18272126dc6,VERIFIED,VERIFIED,False
EVT-BSEE-0013,Bureau of Safety and Environmental Enforcement (BSEE),Review anchor-handling plans now Incident damages subsea equipment triggers gas release,https://www.bsee.gov/safety-alerts/review-anchor-handling-plans-now-incident-damages-subsea-equipment-triggers-gas,SRC-BSEE-0013,9246fe3d93f22b72f2319dec571db29f810ad073089c66e8bb5ec55ca1bd6606,VERIFIED,VERIFIED,False
EVT-BSEE-0014,Bureau of Safety and Environmental Enforcement (BSEE),Improper Use of Equipment and Tools Increases Risk of Fires and Explosions Offshore,https://www.bsee.gov/safety-alerts/improper-use-of-equipment-and-tools-increases-risk-of-fires-and-explosions-offshore,SRC-BSEE-0014,f1750b082e04f63b677131d12d9239f91f9ac076bd1aa575b84705dd471efb3a,VERIFIED,VERIFIED,False
EVT-BSEE-0015,Bureau of Safety and Environmental Enforcement (BSEE),Arc Flash Incident Highlights Critical Need for Voltage Verification During Offshore Electrical Maintenance,https://www.bsee.gov/safety-alerts/arc-flash-incident-highlights-critical-need-for-voltage-verification-during-offshore,SRC-BSEE-0015,750e685f92b317c511230a04e7f3cf49413cc6482ee9178b3247e70e2cd7ec48,VERIFIED,VERIFIED,False
EVT-BSEE-0016,Bureau of Safety and Environmental Enforcement (BSEE),BSEE Risk-Based Inspections Reveal Increase in Slip-Trip-Fall Hazards on Offshore Facilities,https://www.bsee.gov/safety-alerts/bsee-risk-based-inspections-reveal-increase-in-slip-trip-fall-hazards-on-offshore,SRC-BSEE-0016,2a2527ae89a05b88defa3dec4be4f53121eef0bfb21c6652a7f1944a14495af7,VERIFIED,VERIFIED,False
EVT-BSEE-0017,Bureau of Safety and Environmental Enforcement (BSEE),Malfunction of Rental Generator’s Engine Air Shutoff System Led to Fire,https://www.bsee.gov/safety-alerts/malfunction-of-rental-generators-engine-air-shutoff-system-led-to-fire,SRC-BSEE-0017,830b552f302a12506a20afb1247cd81c815d21971d4bad5bd6d7b2a00b80814e,VERIFIED,VERIFIED,False
EVT-BSEE-0018,Bureau of Safety and Environmental Enforcement (BSEE),Fatigue Cracking of ¾-Inch Pipe Nipple Results in Gas Release,https://www.bsee.gov/safety-alerts/fatigue-cracking-of-34-inch-pipe-nipple-results-in-gas-release,SRC-BSEE-0018,f0f2efd458aed1069baad4c025be9db326ea1357f8f43aaec87556f0b54c8832,VERIFIED,VERIFIED,False
EVT-BSEE-0019,Bureau of Safety and Environmental Enforcement (BSEE),BSEE Identifies Bypassed Safety Device Deficiencies during Risk-Based Inspections,https://www.bsee.gov/safety-alerts/bsee-identifies-bypassed-safety-device-deficiencies-during-risk-based-inspections,SRC-BSEE-0019,ab503bd4144b8d1ffc51580caf377552755b035fb74cd21aa89b10271bf89539,VERIFIED,VERIFIED,False
EVT-BSEE-0020,Bureau of Safety and Environmental Enforcement (BSEE),Dropped Steel Plate Due to Defective Lifting Device and Inadequate Hazard Analysis,https://www.bsee.gov/safety-alerts/dropped-steel-plate-due-to-defective-lifting-device-and-inadequate-hazard-analysis,SRC-BSEE-0020,da3ce410e4249b47a24ae12dff142e40ddbc08af9c5d92b3315e5b6a082cbd76,VERIFIED,VERIFIED,False
EVT-BSEE-0021,Bureau of Safety and Environmental Enforcement (BSEE),Failed Umbilical Termination Results in Dropped Remotely Operated Vehicle (ROV),https://www.bsee.gov/safety-alerts/failed-umbilical-termination-results-in-dropped-remotely-operated-vehicle-rov,SRC-BSEE-0021,57045973993b189fcc3da6e5b1cc1a73302109c6f843ce8b0310bb99968c4687,VERIFIED,VERIFIED,False
EVT-BSEE-0022,Bureau of Safety and Environmental Enforcement (BSEE),Explosion and Fire on Liftboat Injure Workers – BSEE Calls for Enhanced Safety Measures and Emergency Preparedness,https://www.bsee.gov/safety-alerts/explosion-and-fire-on-liftboat-injure-workers-bsee-calls-for-enhanced-safety-measures,SRC-BSEE-0022,b965a4ae5a547af6e64fd607d935b240761fe6dc54b6ed6a7013e2b9cae36ba4,VERIFIED,VERIFIED,False
EVT-BSEE-0023,Bureau of Safety and Environmental Enforcement (BSEE),Weather Creates Sudden and Unpredictable Risks,https://www.bsee.gov/safety-alerts/weather-creates-sudden-and-unpredictable-risks,SRC-BSEE-0023,4ebce1120896d50c9f8c56c671cf0c7d5e2f08d31e5a74f9a1b8d340be7498c6,VERIFIED,VERIFIED,False
EVT-BSEE-0024,Bureau of Safety and Environmental Enforcement (BSEE),Misidentification of Corrosion Hazard Results in High Potential Event,https://www.bsee.gov/safety-alerts/misidentification-of-corrosion-hazard-results-in-high-potential-event,SRC-BSEE-0024,587b6dd26d4f4209ba3a840ba97f6f8ec521297b3ce2c9c9cdb680920a16e8f3,VERIFIED,VERIFIED,False
EVT-BSEE-0025,Bureau of Safety and Environmental Enforcement (BSEE),Turbine Generator Exhaust Silencer Failure_1_27_25,https://www.bsee.gov/safety-alerts/turbine-generator-exhaust-silencer-failure-1-27-25,SRC-BSEE-0025,3fc45aeb92ca17fde519ab59313cc894fcb7de64ad29e5633a6e1e3722648ed7,VERIFIED,VERIFIED,False
EVT-BSEE-0026,Bureau of Safety and Environmental Enforcement (BSEE),Ruptured Nitrogen Cylinders,https://www.bsee.gov/safety-alerts/ruptured-nitrogen-cylinders,SRC-BSEE-0026,76f0f3a27b754bd56931e0d90d930e8570a713e719e9020fb0678476a050ec02,VERIFIED,VERIFIED,False
